1995.07.01	5192
1995.07.02	4859
1995.07.03	7336
1995.07.04	5524
1995.07.05	7383
1995.07.06	7820
1995.07.07	6474
1995.07.08	2898
1995.07.09	2554
1995.07.10	4464
1995.07.11	4927
1995.07.12	5345
1995.07.13	6951
1995.07.14	5297
1995.07.15	3116
1995.07.16	3013
1995.07.17	4943
1995.07.18	4523
1995.07.19	4919
1995.07.20	4729
1995.07.21	4339
1995.07.22	2575
1995.07.23	2635
1995.07.24	4298
1995.07.25	4376
1995.07.26	4296
1995.07.27	4368
1995.07.28	2175
1995.08.01	2582
1995.08.03	3222
1995.08.04	4191
1995.08.05	2502
1995.08.06	2538
1995.08.07	4108
1995.08.08	4406
1995.08.09	4317
1995.08.10	4523
1995.08.11	4346
1995.08.12	2865
1995.08.13	2650
1995.08.14	4454
1995.08.15	4214
1995.08.16	4340
1995.08.17	4385
1995.08.18	4168
1995.08.19	2550
1995.08.20	2560
1995.08.21	4135
1995.08.22	4456
1995.08.23	4368
1995.08.24	4077
1995.08.25	4407
1995.08.26	2644
1995.08.27	2690
1995.08.28	4215
1995.08.29	4826
1995.08.30	5266
1995.08.31	5916
